created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-17 11:19:06,rimonh81,"We don't need neighbor like #India .
#sameOnIndia 
Bangladesh affected by flood cz of India.",,,Bangladesh,sameOnIndia Bangladesh| India,[][]
2017-08-17 11:19:02,KrprabhakarJha,"@spjdivn I hv tatkal tkt in shc garibrath with my friends,they missed train due to snap of road communication due t… https://t.co/tlLcFuMPsm",,,Delhi,,[]
2017-08-17 11:18:49,MeerFJN,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,,RT,
2017-08-17 11:18:02,roshgollah,Flood victims  need food. https://t.co/yIGzDim8Ng,,,"Dhaka, Bangladesh",Flood,[]
2017-08-17 11:17:37,pranavspeaks,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,A rolling stone...,RT,
2017-08-17 11:17:26,AmanKaushik0498,"RT @MajorPoonia: 150 citizens rescued by Indian Army's flood relief team in Dhemaji, Assam today🙏👌💐
@adgpi Serving the nation 24x7 https://…",,,"इंदौर, भारत",RT| Indian Army| Dhemaji| Assam,[][][]
2017-08-17 11:17:16,roshgollah,You can collect some charity from your friends and family for the flood victims people of Bangladesh. https://t.co/Tm4yDuZVNa,,,"Dhaka, Bangladesh",Bangladesh,[]
2017-08-17 11:17:14,anujamesklm,"RT @ibtimes_india: | #VIDEOS |
 
@SunnyLeone fans flood #MGRoad in #Kochi; bring traffic to a halt

https://t.co/dk0Gu9vH1D",,,Kothamangalam/ Bangalore,RT| VIDEOS| MGRoad| Kochi,[][][]
2017-08-17 11:17:01,kh_Ibrar82,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,City of Djinns ,RT,
2017-08-17 11:16:27,nandiamitabh,RT @sohansingh18: Rescue of a child in Katihar (Kadwa) by a Jawan of the Army Unit from Jamshedpur that was flown overnight for rescue in f…,,,Gaziabad,RT| Katihar| Army Unit| Jamshedpur,[][][]
2017-08-17 11:16:23,lalla_sharma,"RT @ashokgehlot51: Saddened to know abt flood devastation in #Nepal n death of large number of ppl. Heartfelt condolences for families, who…",,,Maihar,RT| Heartfelt,[]
2017-08-17 11:16:16,roshgollah,Need charity for flood victims people of Bangladesh. https://t.co/Sa5IN5yVwA,,,"Dhaka, Bangladesh",Need| Bangladesh,[][]
2017-08-17 11:15:39,roshgollah,Flood in Bangladesh. https://t.co/qxMgKNDwvG,,,"Dhaka, Bangladesh",Flood| Bangladesh,[][]
2017-08-17 11:14:52,roshgollah,Flood in Bangladesh. https://t.co/0MusndEieL,,,"Dhaka, Bangladesh",Flood| Bangladesh,[][]
2017-08-17 11:14:35,OporajitaLira,RT @dailystarnews: Flood situation in Sirajganj district of #Bangladesh remains unchanged https://t.co/Ciy4XG8Hsj,,,"Dhaka, Bangladesh",RT| Sirajganj,[]
2017-08-17 11:14:10,Georgekurian4K,"RT @IndiaToday: Flood situation remains grim in Bihar, floodwater submerges Sugauli Railway station. Watch this report by @rohit_manas.​ #I…",,,"Pune, India",RT| Bihar| Sugauli Railway,[][]
2017-08-17 11:14:09,mrhrajib,Wake up under morning. Spend all day at home. watch flood news at #Bangladeshi. Fun entertainment about flood.... https://t.co/zj5hdTx2cJ,,,Bangladesh,Fun,[]
2017-08-17 11:14:05,NaveenMadpur1,"RT @IndianExpress: Renewed flooding has killed 56 people since Saturday
https://t.co/p5Db5A1VlW",,,"Banglore, India",RT,
2017-08-17 11:14:00,mrhrajib,Wake up under morning. Spend all day at home. watch flood news at #Bangladeshi. Fun entertainment about flood.… https://t.co/xSPsBzGNLn,,,Bangladesh,Fun,[]
2017-08-17 11:13:31,friendmoscow,RT @airnewsalerts: #Assam Water Resources minister #KeshabMahanta visits flood hit Koliabor in #Nagaon district. https://t.co/EmvBKJWyzL,,,,RT| Assam Water| Nagaon,[][]
2017-08-17 11:13:29,AmiteshBhartiya,"@Airtel_Presence @airtelindia dont think so, my location is far frm flood affected region, call n 2g running fine but msng speed internet...",,,Mumbai(India),,[]
2017-08-17 11:13:01,Symbianian,RT @airnewsalerts: Flood situation still grim in several districts of #UttarPradesh.,,,Near you,RT,
2017-08-17 11:12:27,jafarmiya,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,,RT,
2017-08-17 11:12:17,somnathmka,RT @rahulias6: Medical camps in flood hit area of Sidhwalia. #BiharFloods https://t.co/0gvSNqaUl1,,,India,RT| Sidhwalia,[]
2017-08-17 11:11:31,Akg316Arvind,RT @airnewsalerts: #Assam Water Resources minister #KeshabMahanta visits flood hit Koliabor in #Nagaon district. https://t.co/EmvBKJWyzL,,,,RT| Assam Water| Nagaon,[][]
2017-08-17 11:11:23,sukhmeetkaur295,In the yard… Ella Flood https://t.co/DcV91VdRCT | 🚀 by https://t.co/mWP3eVBU3f https://t.co/zZMXLf1xqx,,,"Kanpur, India",Ella Flood,[]
2017-08-17 11:11:22,irrfannshah,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,Mumbai,RT,
2017-08-17 11:11:22,PeguDeori,RT @rgohainbjp: Unprecendented flood in Assam but strong nationalism still led to flag hoisting. Pic r self speaking. Proud moments @narend…,,,"Dhemaji, India",RT| Pic,[]
2017-08-17 11:11:18,JamwalNidhi,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,Mumbai,RT,
2017-08-17 11:10:47,DDBiharChannel,RT @airnewsalerts: Flood situation still grim in several districts of #UttarPradesh.,,,"patna, bihar",RT,
2017-08-17 11:10:25,xtahzy,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,,RT,
2017-08-17 11:09:34,airnewsalerts,#Assam Water Resources minister #KeshabMahanta visits flood hit Koliabor in #Nagaon district. https://t.co/EmvBKJWyzL,,,"New Delhi, India",Assam Water| Nagaon,[][]
