created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-31 22:19:13,Shelteringlove,"RT @SouleFacts: Dibrugarh, Sangh worker busy in Flood relief... Assam cut off with rest of India for the last 15 day will stay so till 28th…",,,In your heart.,RT| Sangh| Flood| Assam| India,"[21.1348893, 79.1114454][37.2923509,-78.73278][26.2006043,92.9375739][20.593684,78.96288]"
2017-08-31 22:18:56,Shelteringlove,"RT @rofl_human: Affected places by flood in India.

Bihar : 250 Died, More than 1 crore affected.
Assam : 150 Died, More than 25... https:/…",,,In your heart.,#,
2017-08-31 22:18:53,mhh_heron,BBCWorld : Houston flood: What Storm Harvey left behind https://t.co/ON3nqBOmZb (via Twitter… https://t.co/gTqRvqHmKc,,,"Dhaka, Bangladesh",BBCWorld| Houston,"[1.2964962,103.8565696][29.7604267,-95.3698028]"
2017-08-31 22:18:50,Shelteringlove,"RT @Assam_24X7: 3 more die in flood-ravaged Assam, waters begin to recede - Times of India  https://t.co/UXNh8n04nW",,,In your heart.,RT| India,"[20.593684,78.96288]"
2017-08-31 22:17:16,Shelteringlove,"RT @gettleman: Tho Houston flood is getting more attention, flooding in India, Nepal &amp; Bangladesh is SO much worse. 1,000 dead. https://t.c…",,,In your heart.,#,
2017-08-31 22:16:45,vijayanalmeida,"RT @husainghw: People saw the desperate intentions of BJP to be on power in RS elections. State was under flood and BJP in trading mode.
#B…",,,India,#,
2017-08-31 22:11:26,NewsTweetsWorld,Reuters Top News: Cash flowing again from Fed’s flood-threatened Houston branch https://t.co/jQlVfnijXM… https://t.co/rsOmJIKvXM,,,India,Houston,"[29.7604267,-95.3698028]"
2017-08-31 22:05:41,bobcat4evah,@Chiggins221B @_reneegiroux @TooFaced Wonder when they'll tell the people in TX just what chemicals exploded in the… https://t.co/X9KTCWjUaq,,,MA,,[]
2017-08-31 22:02:59,Scentofawoman10,RT @swapan55: UNHCR welcome to press Myanmar to deal with its Rohingya problem in a humane way. But it can't pressure India to accept a flo…,,,New Delhi ,RT| Myanmar| India,"[21.916221,95.955974][20.593684,78.96288]"
2017-08-31 22:02:39,debopomsanyal,#Texas #Flood due to #HurricaneHarvey is already punishing people and the new reports of… https://t.co/sioyCA6AIQ https://t.co/dMA008HOHz,,,"Hyderabad,India",HurricaneHarvey,"[39.225013,-90.9220472]"
